prod_name,total_price,dis_price,dis_perncetage,prod_rating,prod_reviews,image_src,prod_short_desc
"Infinix SMART 7 (Night Black, 64 GB)","9,999","7,499",25% off,4.3,"1,972 Ratings ",https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/e/r/a/-original-imagna3qqyay2gaf.jpeg?q=70,"['4 GB RAM | 64 GB ROM | Expandable Upto 2 TB', '16.76 cm (6.6 inch) HD+ Display', '13MP + AI Lens | 5MP Front Camera', '6000 mAh Battery', 'Unisoc Spreadtrum SC9863A1 Processor', '1 Year on Handset and 6 Months on Accessories']"
"APPLE iPhone 11 (White, 64 GB)","43,900","38,999",11% off,4.6,"1,86,236 Ratings ",https://rukminim1.flixcart.com/image/312/312/k2jbyq80pkrrdj/mobile-refurbished/k/y/d/iphone-11-256-u-mwm82hn-a-apple-0-original-imafkg25mhaztxns.jpeg?q=70,"['64 GB ROM', '15.49 cm (6.1 inch) Liquid Retina HD Display', '12MP + 12MP | 12MP Front Camera', 'A13 Bionic Chip Processor', 'Brand Warranty of 1 Year']"
"Infinix SMART 7 (Azure Blue, 64 GB)","9,999","7,499",25% off,4.3,"1,972 Ratings ",https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/u/c/u/-original-imagnanh2yvpc4zx.jpeg?q=70,"['4 GB RAM | 64 GB ROM | Expandable Upto 2 TB', '16.76 cm (6.6 inch) HD+ Display', '13MP + AI Lens | 5MP Front Camera', '6000 mAh Battery', 'Unisoc Spreadtrum SC9863A1 Processor', '1 Year on Handset and 6 Months on Accessories']"
"MOTOROLA g52 (Charcoal Grey, 128 GB)","19,999","12,999",35% off,4.2,"29,548 Ratings ",https://rukminim1.flixcart.com/image/312/312/l29c9e80/mobile/l/g/m/-original-imagdnefhnhztahe.jpeg?q=70,"['6 GB RAM | 128 GB ROM', '16.76 cm (6.6 inch) Full HD+ Display', '50MP + 8MP + 2MP | 16MP Front Camera', '5000 mAh Lithium Battery', 'Qualcomm Snapdragon 680 Processor', '1 Year on Handset and 6 Months on Accessories']"
"vivo T1 44W (Midnight Galaxy, 128 GB)","23,990","17,999",24% off,4.3,"6,068 Ratings ",https://rukminim1.flixcart.com/image/312/312/l2p23rk0/mobile/x/b/y/-original-imagdznhnzmzfbwx.jpeg?q=70,"['8 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '16.36 cm (6.44 inch) Full HD+ AMOLED Display', '50MP + 2MP + 2MP | 16MP Front Camera', '5000 mAh Lithium Battery', 'Qualcomm Snapdragon 680 Processor', '1 Year Handset and 6 Months Accessories']"
"vivo T1 44W (Starry Sky, 128 GB)","20,990","15,999",23% off,4.4,"52,829 Ratings ",https://rukminim1.flixcart.com/image/312/312/l2p23rk0/mobile/s/4/3/-original-imagdznhcbdfwfud.jpeg?q=70,"['6 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '16.36 cm (6.44 inch) Full HD+ AMOLED Display', '50MP + 2MP + 2MP | 16MP Front Camera', '5000 mAh Lithium Battery', 'Qualcomm Snapdragon 680 Processor', '1 Year Handset and 6 Months Accessories']"
"MOTOROLA g31 (Meteorite Grey, 64 GB)","13,999","9,499",32% off,4.2,"35,261 Ratings ",https://rukminim1.flixcart.com/image/312/312/l1l1rww0/mobile/j/e/u/-original-imagd48zzrkcjfn2.jpeg?q=70,"['4 GB RAM | 64 GB ROM | Expandable Upto 1 TB', '16.26 cm (6.4 inch) Full HD+ Display', '50MP + 8MP + 2MP | 13MP Front Camera', '5000 mAh LiPo Battery', 'Mediatek Helio G85 Processor', '1 Year on Handset and 6 Months on Accessories']"
"Infinix Hot 12 (7° Purple, 64 GB)","12,999","8,499",34% off,4.3,"20,132 Ratings ",https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/y/9/z/-original-imagh4bbndqmytqg.jpeg?q=70,"['4 GB RAM | 64 GB ROM', '17.32 cm (6.82 inch) HD+ Display', '50 MP + 2 MP Depth Lens + AI Lens | 8MP Front Camera', '6000 mAh Lithium-ion Polymer Battery', 'Meditek Helio G37 Processor', '1 Year on Handset and 6 Months on Accessories']"
"Infinix Hot 12 (Exploratory Blue, 64 GB)","12,999","8,499",34% off,4.3,"20,132 Ratings ",https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/v/q/d/-original-imagh4bbvnrhc754.jpeg?q=70,"['4 GB RAM | 64 GB ROM', '17.32 cm (6.82 inch) HD+ Display', '50 MP + 2 MP Depth Lens + AI Lens | 8MP Front Camera', '6000 mAh Lithium-ion Polymer Battery', 'Meditek Helio G37 Processor', '1 Year on Handset and 6 Months on Accessories']"
"POCO X4 Pro 5G (Laser Black, 128 GB)","25,999","18,499",28% off,4.2,"18,346 Ratings ",https://rukminim1.flixcart.com/image/312/312/l19m93k0/mobile/q/f/w/-original-imagcv2dgezfbfet.jpeg?q=70,"['8 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '16.94 cm (6.67 inch) Full HD+ Super AMOLED Display', '64MP + 8MP + 2MP | 16MP Front Camera', '5000 mAh Lithium-ion Polymer Battery', 'Qualcomm Snapdragon 695 5G Processor', 'One Year for Handset, 6 Months for Accessories']"
